state,county,city,density,impervious,rel
Massachusetts,Middlesex,Shirley,71.44932203576425,0.0,0.0778222827337124
Massachusetts,Middlesex,Somerville,3711.64737945316,76.0,0.4591164824876273
Massachusetts,Middlesex,Stoneham,713.5541988313191,81.0,0.0366058681812511
Massachusetts,Middlesex,Stow,0.0222886458539898,0.0,0.0
Massachusetts,Middlesex,Sudbury,118.8015532205426,0.0,0.7973468996851514
Massachusetts,Middlesex,Tewksbury,243.5044897886942,30.0,0.8300422671756199
Massachusetts,Middlesex,Townsend,47.07821089718687,0.0,0.7971137813764859
Massachusetts,Middlesex,Tyngsborough,121.10840137415856,0.0,4.102475381079701
Massachusetts,Middlesex,Wakefield,1.409988157666129,96.0,0.0
Massachusetts,Middlesex,Waltham,912.6209656762236,24.0,2.0499986563634573
Massachusetts,Middlesex,Wayland,144.075814983043,79.0,0.9769931678576302
Massachusetts,Middlesex,Westford,126.11656050228476,0.0,4.808347373241715
Massachusetts,Middlesex,Weston,100.28920661803171,0.0,4.976566645881693
Massachusetts,Middlesex,Winchester,549.1611563337002,85.0,0.1796020803754862
Massachusetts,Middlesex,Woburn,631.3287587128573,90.0,0.4222419111295126
Massachusetts,Nantucket,Nantucket,111.8212982979324,65.0,1.0
Massachusetts,Norfolk,Avon,195.59458730216855,80.0,3.3403061535583523
Massachusetts,Norfolk,Bellingham,153.05011127128293,0.0,0.4424859544887893
Massachusetts,Norfolk,Brookline,1895.85971152181,33.0,1.5704890250128871
Massachusetts,Norfolk,Canton,218.9392412299129,100.0,1.3049341065699158
Massachusetts,Norfolk,Cohasset,151.8255512970468,0.0,0.862469056202973
Massachusetts,Norfolk,Dedham,420.97457908275135,24.0,1.1332415646346328
Massachusetts,Norfolk,Dover,57.598197125277046,0.0,0.4794209481782377
Massachusetts,Norfolk,Foxborough,163.1464307858365,2.0,0.6445114192238167
Massachusetts,Norfolk,Holbrook,253.48104027810004,0.0,2.5599311751820437
Massachusetts,Norfolk,Medfield,134.03375662401285,31.0,0.4902485207604187
Massachusetts,Norfolk,Medway,177.84023031866306,0.0,0.7560421382161121
Massachusetts,Norfolk,Millis,119.97537344220127,0.0,2.075093817622363
Massachusetts,Norfolk,Milton,309.21561346552687,0.0,1.1787463090779522
Massachusetts,Norfolk,Needham,404.3756458864887,60.0,0.1543799572245481
Massachusetts,Norfolk,Norfolk,103.20064275703186,89.0,5.032003977166921
Massachusetts,Norfolk,Plainville,167.1932187161388,53.0,1.2096749261461563
Massachusetts,Norfolk,Quincy,1074.156422252553,68.0,0.6699686314138822
Massachusetts,Norfolk,Sharon,112.97080649507834,0.0,3.6183343103063033
Massachusetts,Norfolk,Stoughton,309.7718695555602,2.0,0.5225517244551723
Massachusetts,Norfolk,Walpole,205.6013416412484,91.0,0.5085797627240997
Massachusetts,Norfolk,Westwood,225.45708549986273,0.0,0.3714863909553181
Massachusetts,Norfolk,Wrentham,88.20804633478491,0.0,0.62556404265477
Massachusetts,Plymouth,Abington,287.4868443562274,0.0,0.7089046551200341
Massachusetts,Plymouth,Brockton,701.9984467965373,98.0,0.718465156073492
Massachusetts,Plymouth,Carver,59.158424833456515,0.0,3.534313303880167
Massachusetts,Plymouth,Duxbury,113.7423348937898,0.0,2.128519946269879
Massachusetts,Plymouth,East Bridgewater,127.03736851677154,0.0,0.6873880683706856
Massachusetts,Plymouth,Halifax,82.51839569253008,0.0,2.726922841491172
Massachusetts,Plymouth,Hanover,153.2477667250418,0.0,0.4623032845966671
Massachusetts,Plymouth,Hanson,111.69944914818952,0.0,0.96777568845879
Massachusetts,Plymouth,Kingston,125.81057735809716,0.0,2.30295341472854
Massachusetts,Plymouth,Lakeville,5.987754064546815,0.0,0.0
Massachusetts,Plymouth,Marion,86.8271324266817,39.0,0.9140549630600632
Massachusetts,Plymouth,Marshfield,168.13148839292984,0.0,0.8800043145984026
Massachusetts,Plymouth,Mattapoisett,87.79662346480355,45.0,0.0
Massachusetts,Plymouth,Norwell,84.87186727626349,0.0,0.9870889202195652
Massachusetts,Plymouth,Pembroke,138.20141159680335,0.0,2.5693159719430523
Massachusetts,Plymouth,Plymouth,124.86427856740056,24.0,0.4427438340080956
Massachusetts,Plymouth,Plympton,33.532082589282716,0.0,3.593093226917763
Massachusetts,Plymouth,Rochester,28.73075594299367,0.0,3.6909607832501297
Massachusetts,Plymouth,Rockland,303.67006524594655,2.0,0.1038884228008023
Massachusetts,Plymouth,Scituate,201.87071799963883,0.0,1.452861555561358
Massachusetts,Plymouth,Wareham,158.8711003315405,34.0,0.5803368125566923
Massachusetts,Plymouth,West Bridgewater,90.01953446572853,47.0,0.5564110585818806
Massachusetts,Plymouth,Whitman,355.1773529121787,83.0,0.7455379881355751
Massachusetts,Suffolk,Boston,2233.4066854469716,88.0,1.0198440074906097
Massachusetts,Suffolk,Chelsea,2761.9184848586096,96.0,0.2078956790875984
Massachusetts,Suffolk,Revere,1539.4397324778392,26.0,1.6712158889894246
Massachusetts,Worcester,Athol,68.60802142894262,0.0,0.2186213434361192
Massachusetts,Worcester,Auburn,194.61667732288132,70.0,1.746926500539837
Massachusetts,Worcester,Barre,21.40892230897987,0.0,0.3008099219355469
Massachusetts,Worcester,Berlin,41.78915816008766,0.0,7.046496506991532
Massachusetts,Worcester,Blackstone,136.38717361506906,0.0,1.3892932253733994
Massachusetts,Worcester,Bolton,40.32137705458515,0.0,4.061030680951002
Massachusetts,Worcester,Brookfield,42.372277609138266,0.0,1.7673952473615926
Massachusetts,Worcester,Charlton,52.0112561438754,0.0,0.7167838735838417
Massachusetts,Worcester,Clinton,496.83898660146696,33.0,1.2215579578152416
Massachusetts,Worcester,Douglas,41.421601218841744,0.0,0.385712514918816
Massachusetts,Worcester,Dudley,93.03948276868005,0.0,0.3592159873659335
Massachusetts,Worcester,East Brookfield,44.270928846753264,0.0,4.135681237028262
Massachusetts,Worcester,Fitchburg,267.76331210783627,0.0,0.2535947850935533
Massachusetts,Worcester,Gardner,176.79684845269512,0.0,0.0314472090331871
