state,county,city,town_tracked,aland_sqkm,density,lat,lon,rel
Connecticut,Hartford,Bristol,29798.0,68.373837,435.8099721681555,41.681578,-72.940749,0.21623451411633518
Connecticut,Hartford,Burlington,3909.0,76.92773,50.813926265600195,41.749079,-72.948657,2.3220567150727196
Connecticut,Hartford,Canton,5004.0,63.676511,78.5847076326151,41.858726,-72.910862,2.977495939984223
Connecticut,Hartford,East Granby,2648.0,45.4433,58.27041610094337,41.929719,-72.745378,4.59657186431391
Connecticut,Hartford,East Hartford,23223.0,46.638314,497.93824022026183,41.760695,-72.607646,0.7573537291859674
Connecticut,Hartford,East Windsor,6254.0,67.989002,91.98546553161643,41.904009,-72.564473,0.7219238074797402
Connecticut,Hartford,Enfield,19403.0,86.292839,224.85063911270782,41.983993,-72.555553,0.3092785490782945
Connecticut,Hartford,Farmington,12767.0,72.265588,176.66776612957196,41.729774,-72.842031,4.33800582485356
Connecticut,Hartford,Glastonbury,16030.0,132.758389,120.74566527016233,41.691883,-72.552173,2.220356687771331
Connecticut,Hartford,Granby,4843.0,105.497706,45.90621145828517,41.97148,-72.830159,0.5577074942862846
Connecticut,Hartford,Hartford,59069.0,45.012647,1312.2756366671792,41.765933,-72.681579,0.3740530645278883
Connecticut,Hartford,Manchester,29149.0,71.023124,410.41562745113833,41.77524,-72.524434,0.9350784552914719
Connecticut,Hartford,Marlborough,2646.0,60.479198,43.7505801581562,41.636439,-72.454002,4.554867607678321
Connecticut,Hartford,New Britain,34606.0,34.694284,997.4553733404614,41.676555,-72.786161,0.18374076970685854
Connecticut,Hartford,Newington,14823.0,34.034098,435.5337990740933,41.686993,-72.730839,1.3540908058673164
Connecticut,Hartford,Plainville,9442.0,25.139798,375.57978787259947,41.673992,-72.854434,0.11927803073299151
Connecticut,Hartford,Rocky Hill,10194.0,34.86796,292.360092187785,41.656624,-72.661779,0.01536583239374047
Connecticut,Hartford,Simsbury,10989.0,87.883318,125.04079556941625,41.87253,-72.828438,2.8927777615401626
Connecticut,Hartford,South Windsor,12148.0,72.668282,167.17059583161742,41.83809,-72.577836,0.5705811330500888
Connecticut,Hartford,Southington,20046.0,92.913801,215.74835798612952,41.60716,-72.87876,1.2967770911106062
Connecticut,Hartford,Suffield,6298.0,109.525314,57.502688373940664,41.999915,-72.678751,1.8231085927458044
Connecticut,Hartford,West Hartford,28711.0,56.560149,507.618889052078,41.766568,-72.754944,0.7391699746892825
Connecticut,Hartford,Wethersfield,12463.0,31.862532,391.1490775434921,41.702484,-72.669301,0.11987008313527549
Connecticut,Hartford,Windsor,13404.0,76.443198,175.34588231120316,41.871037,-72.675082,1.165266179541308
Connecticut,Hartford,Windsor Locks,6408.0,23.371633,274.17853087116333,41.92779,-72.651616,0.16377007228407944
Connecticut,Litchfield,Barkhamsted,1781.0,93.896736,18.96764547811332,41.935708,-72.972921,2.7506706626079795
Connecticut,Litchfield,Bethlehem,1916.0,50.181137,38.18167770889687,41.635759,-73.211422,0.7986505069722301
Connecticut,Litchfield,Bridgewater,964.0,42.478578,22.69379168012639,41.520294,-73.361093,5.6504387546467925
Connecticut,Litchfield,Canaan,1307.0,85.242555,15.332717326457425,41.962959,-73.307143,0.5327300326513219
Connecticut,Litchfield,Colebrook,823.0,81.722366,10.070682486114022,42.005797,-73.064184,0.3453170030756326
Connecticut,Litchfield,Cornwall,1203.0,119.297429,10.084039614969406,41.84806,-73.330561,0.32025416527469974
Connecticut,Litchfield,Goshen,1919.0,113.004839,16.981573682875652,41.849537,-73.234002,0.15184459391064895
